1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
1.0	0.0	1.0	0.0
0.994	0.002443352199329841	0.9976600000000001	3.092055110247036e-5
0.995	0.00223158687484489	0.99758	3.5589467686525034e-5
0.974	0.0050348137353182516	0.98262	0.00011274682899065258
0.963	0.005972157622389636	0.97725	0.00012472005689780855
0.902	0.009406619184621247	0.93577	0.0002100536351259594
0.827	0.011967214137559927	0.87597	0.0002943023495879245
0.718	0.014236526215291371	0.78783	0.0003651365714576064
0.567	0.015676630912181244	0.65159	0.00042944475162085124
0.395	0.015466551464829326	0.47518	0.00046489557482890225
0.272	0.014078856992462639	0.32543	0.0004653639206886141
0.16	0.011598902298689068	0.19080999999999998	0.0004264217154172374
0.055	0.007212976294639202	-0.003840000000000002	0.00038957312743774
0.02	0.004429403980178327	-0.16107000000000002	0.000406726420928714
0.01	0.0031480009386767828	-0.3351700000000001	0.0004546535834907507
0.003	0.0017303161543469434	-0.49820000000000003	0.00046745553229657534
