N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
40,0.2,0.1,100,23.22,0.04163331998932268,-2.000189186295189,4.876579613732469e-6,0.9685745683680238,0.020130353002702127
40,0.2,0.2,100,28.169999999999998,0.20795055744920318,-0.9966523125158376,0.002508394490124204,0.9802631851235388,0.02510085479677873
40,0.2,0.3,100,30.32,1.8065470160535877,-0.6525950810100921,0.00661220272076438,0.4716084537746894,0.042846740530160396
40,0.2,0.4,100,26.11,2.96753119851189,-0.5324649852587284,0.008264390167799108,0.2307529524682544,0.03662593898306152
40,0.2,0.5,100,17.58,5.855571119140569,-0.5304136386952085,0.010573305545723869,0.07961152929886639,0.026434805535467554
40,0.2,0.6,100,7.91,0.6772038470837644,-0.4976949702066259,0.010753195740974181,4.825971745146327e-5,2.0403326268928657e-5
40,0.2,0.7,100,6.41,0.9373393465042693,-0.5007309269908237,0.010521002197762792,0.02505403593040339,0.018213500472639883
40,0.2,0.8,100,3.8500000000000005,0.5900479350498277,-0.5153283179976968,0.010763173288042077,1.0619359080564636e-5,6.73792034351611e-6
40,0.2,0.9,100,3.04,0.44809811335456345,-0.5315959498086429,0.0126117516300274,0.0186091559346401,0.01324495012526549
40,0.2,1.0,100,2.5999999999999996,0.42450208503848386,-0.516933272447724,0.011535672274451911,0.012475663376358359,0.012473754706640727
