N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
50,0.1,0.05,1000,22.741999999999987,0.016422719193413298,-2.002443093660966,2.302505213499181e-5,0.9771733233037888,0.00649908591470053
50,0.1,0.2,1000,27.244999999999987,0.7357215922217183,-0.5317173638760576,0.002478253402550867,0.1746819368201204,0.01035685578397238
50,0.1,0.19,1000,27.687999999999985,0.5887727144741927,-0.545435816354613,0.0022537409389076133,0.20491267973611524,0.011084192502689437
50,0.1,0.13,1000,33.174999999999955,0.3074034350359019,-0.7654142603826006,0.0008138047905499389,0.8659977969599704,0.009898005787606494
50,0.1,0.17,1000,34.77900000000007,0.8685508272631712,-0.5852870143479898,0.001600311973320815,0.41001775909980853,0.013360462091550989
50,0.1,0.16,1000,35.60400000000007,1.0933318611284306,-0.618991922107253,0.001364743904345981,0.5276702587240382,0.013663359499377576
50,0.1,0.35,1000,7.103,0.289766035544809,-0.5027582412066428,0.0031923227541630324,0.006933659703437125,0.0029353688710160248
50,0.1,0.31,1000,9.278,0.26335921110542937,-0.5018429734730341,0.003166020301768033,0.008933090862694486,0.003461898848806248
50,0.1,0.07,1000,24.195000000000014,0.021434421719151508,-1.4313622286979422,2.2738454645207968e-5,0.9949028548499322,0.005932739763679318
50,0.1,0.06,1000,23.427999999999965,0.01863231502425722,-1.6693463377338649,2.3194064104834595e-5,1.0000283696556447,0.006448239854457968
50,0.1,0.09,1000,26.18400000000003,0.06785829904108079,-1.1142421071193138,2.4211500713176466e-5,1.0013479662001854,0.006303819210810277
50,0.1,0.33,1000,7.783999999999992,0.1505124513055247,-0.5011521783263784,0.003117839728475292,0.007211982422936787,0.0029864089195857017
50,0.1,0.32,1000,8.55499999999998,0.21149871561479214,-0.5001301798590373,0.0030523028253670883,0.008674506996009568,0.0030328257200893933
50,0.1,0.21,1000,24.403999999999986,0.7729801305869917,-0.521940605555522,0.002490656932235764,0.12699880103470754,0.009184680527332113
50,0.1,0.27,1000,13.203,0.38050042256424826,-0.5028728193255697,0.003111703169762722,0.02867772221399701,0.005291919276612873
50,0.1,0.3,1000,9.997000000000007,0.35501412088257284,-0.5080779096618065,0.003165639809904892,0.012310227995907044,0.004024926462459444
50,0.1,0.15,1000,35.47199999999991,0.5462046828392773,-0.6594574955589099,0.0012387829045243516,0.6560100306413478,0.013145584525329337
50,0.1,0.08,1000,25.078999999999986,0.028063259727739185,-1.2530007621160397,2.32865458138444e-5,0.9984930250613413,0.006255075886454279
50,0.1,0.23,1000,19.232000000000024,0.6002803615915757,-0.510006962276368,0.0027193797554084832,0.06596748319517955,0.006625744167838501
50,0.1,0.29,1000,10.906999999999995,0.30241661132749753,-0.5057759229284409,0.0032247310244297254,0.017597235052344576,0.00429186976724043
50,0.1,0.24,1000,16.64299999999998,0.4742641431496562,-0.5121070135737961,0.002867060731666478,0.04349739085027033,0.005728490192194389
50,0.1,0.28,1000,11.247,0.27015361180997366,-0.5064208764981444,0.0030869098952468216,0.01553291271291983,0.003915803505108775
50,0.1,0.11,1000,29.467000000000027,0.2686020440317945,-0.9111392226243196,0.00040376736882745943,0.9775166867260696,0.006806973341749748
50,0.1,0.1,1000,27.565999999999992,0.10175459693791725,-1.0024057625285512,0.0003398251180959729,0.9892010819933977,0.006771757475406207
50,0.1,0.34,1000,7.279000000000004,0.16684422673858387,-0.5002343448860774,0.003064664564715731,0.0048916659229988274,0.0024843905068909237
50,0.1,0.12,1000,30.818000000000037,0.17697512875033086,-0.8327476985206431,0.0006472524427774848,0.9301577211425724,0.008221323979369363
50,0.1,0.25,1000,16.529000000000018,0.47436080906539624,-0.5038628726763406,0.0029851512652059277,0.05142694446402444,0.006487547838572219
50,0.1,0.14,1000,34.72699999999998,0.5054244997276298,-0.7062240016640781,0.0010133975761219317,0.7505289632383217,0.011946314408045073
50,0.1,0.26,1000,13.780999999999983,0.40706601644173374,-0.5066298166470723,0.0029676173999366603,0.02189407802365038,0.003926454874126926
50,0.1,0.22,1000,22.040999999999958,0.576190345558058,-0.51444054737638,0.002747656273262576,0.09194056385166363,0.007819070798550815
50,0.1,0.18,1000,32.64499999999997,0.7047408279890094,-0.5600175565689811,0.0017740310301201877,0.3173417628611423,0.012533084094394957
