N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
40,0.1,0.1,100,30.429999999999993,0.2118962010041709,-1.0125430565913558,0.0002552817885996028,0.973077602263711,0.021103966949656393
40,0.1,0.2,100,37.620000000000026,2.899347889063708,-0.5715497795896196,0.009437835254695529,0.35816836512358513,0.05031363607774241
40,0.1,0.3,100,12.479999999999999,0.7723086209933216,-0.5288056848679281,0.011135466574720832,0.04449680409967874,0.025918971615924068
40,0.1,0.4,100,7.420000000000001,0.5715794173192649,-0.515025800955455,0.011191330363199888,5.2408453482680576e-5,3.940207870155412e-5
40,0.1,0.5,100,4.979999999999999,0.48844837821597714,-0.5011872385945688,0.012006752820605975,1.7700535461501917e-5,1.6157642621112104e-5
40,0.1,0.6,100,2.5199999999999996,0.24678948621254213,-0.5111259407446102,0.011609037852939773,1.9062549275635904e-7,1.7934294891537987e-7
40,0.1,0.7,100,1.4700000000000004,0.13813695443949162,-0.5161581294349192,0.010722188885157108,7.804383023193406e-10,4.775212220842977e-10
40,0.1,0.8,100,1.510000000000001,0.14459626830620775,-0.502339244604618,0.01202137339352849,1.8229059299465153e-9,1.6480833188459307e-9
40,0.1,0.9,100,1.2300000000000002,0.1071720979819775,-0.5119987965320372,0.012307603575630282,6.604761762291684e-10,5.202329167890018e-10
40,0.1,1.0,100,1.2299999999999998,0.12131851391350709,-0.505156678750251,0.01194591603666059,3.6288338009091225e-9,3.516145986500439e-9
