N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
50,0.2,0.14,1000,24.764999999999986,0.016674922879973172,-1.428595009558924,1.7067643966810784e-7,0.9987209969877444,0.006629086462295701
50,0.2,0.15,1000,25.106,0.018085659819069132,-1.3329988005257667,0.0003584030175402299,0.9964503773571911,0.006359872465999805
50,0.2,0.16,1000,25.421999999999993,0.019501187048390094,-1.2497053905818103,0.00031915032971181653,0.995397601902185,0.006354106583050743
50,0.2,0.17,1000,26.07300000000001,0.03311748432124288,-1.1759666068519146,0.00037578542403247196,1.002422855780919,0.0063896736886659465
50,0.2,0.18,1000,26.522,0.037774898318101956,-1.110324131492618,0.0004686572133442333,0.9980307699577259,0.006575859841669453
50,0.2,0.19,1000,27.13900000000001,0.07619372995519043,-1.0503893110289402,0.0007550110754718355,0.9846175134294167,0.006832670902685005
50,0.2,0.2,1000,27.968000000000007,0.13842014353458865,-0.9959125501155788,0.0009725865920490366,0.96772759932749,0.007344048182707065
50,0.2,0.21,1000,28.412999999999982,0.16483203754307177,-0.9458798556756638,0.001163797793153412,0.9517930384083687,0.007691926348072757
50,0.2,0.22,1000,28.884999999999998,0.18442284778949372,-0.8996811829261508,0.0013165737309044348,0.9148010852843286,0.008527267814496552
50,0.2,0.23,1000,29.358,0.22979695960269503,-0.8562928745224831,0.0015003459580191923,0.8722013399170783,0.009540470504687645
50,0.2,0.24,1000,30.037000000000003,0.24973986666329648,-0.8150984760778229,0.0017163351369314317,0.8316965953734172,0.010532097220654056
50,0.2,0.25,1000,30.73700000000001,0.3466641126609545,-0.7766863773678899,0.0017942249400946981,0.7932317776914362,0.011649883996920154
50,0.2,0.26,1000,30.604999999999983,0.5868691424758935,-0.7416258399229094,0.0019036092879244346,0.7038829745713534,0.012650820241014063
50,0.2,0.27,1000,30.45899999999999,0.43701407334352566,-0.7104786658603377,0.0018635297999148237,0.6534425996704915,0.013355393128182276
50,0.2,0.28,1000,30.467000000000006,0.41128100255550704,-0.6846397875154613,0.0018144056278746764,0.6274208645327118,0.013222125446264504
50,0.2,0.29,1000,28.870999999999995,0.43227910454268353,-0.6562576767246437,0.001847370526559877,0.5327940577253266,0.013829941524566979
50,0.2,0.3,1000,27.77700000000002,0.4298861163995332,-0.6321343608959735,0.001874205241162704,0.459875477265704,0.013765868450094549
50,0.2,0.31,1000,28.14400000000001,0.5677883828044106,-0.6109804664691185,0.0018405833047525774,0.41806863079219986,0.013571326159729955
50,0.2,0.32,1000,26.59999999999999,0.6494164624813124,-0.5963784679264873,0.001868201487698047,0.36780708143234636,0.013047432936370793
50,0.2,0.33,1000,23.961999999999968,0.49116779393787835,-0.5824915708828438,0.0019471148692854741,0.2934171407495282,0.012401918819521641
50,0.2,0.34,1000,24.013000000000005,0.5017315672404574,-0.5651160710799542,0.0019038971909752624,0.2765979116881601,0.012147517922819394
50,0.2,0.35,1000,22.880999999999997,0.536724241964076,-0.5596372984563937,0.0021190144721186617,0.24938745952209615,0.011643996065553617
50,0.2,0.36,1000,21.31299999999999,0.5387051459140095,-0.5458816634936332,0.00220553471657559,0.18569081639467547,0.010411854208031302
50,0.2,0.37,1000,21.35200000000003,0.602940821004544,-0.5395847527204308,0.002389809499297272,0.17623686459985227,0.010198071927968915
50,0.2,0.38,1000,18.898000000000028,0.5379656150749814,-0.5349135179235872,0.0024698567284199492,0.137134776537506,0.009212923938802341
50,0.2,0.39,1000,18.56900000000001,0.4971804777215486,-0.5250638636759927,0.002447909977933852,0.13812274692822538,0.009173431247002277
50,0.2,0.4,1000,17.091000000000022,0.49437144145078016,-0.5227239366788317,0.0026397095841862754,0.0943350573559823,0.007743169047929452
